UniqueCount	AmbigCount
0	0
307	0
84	4924
0	0
4073	0
0	0
3	0
2	0
8	4925
51	28
15	169
493	169
85	0
0	0
176	0
0	0
2	0
9	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	33007
27335	1326
22210	2
13920	12384
0	49894
0	49894
2	306
6	0
50	0
8	0
0	0
0	0
0	0
2	1
0	4
0	5
0	5
0	283
0	283
0	283
0	283
3485	34187
33	3
0	0
6000	0
1	141
1	141
0	141
14	5921
13	1194
17	1194
10	6384
0	1194
0	6915
0	0
6	1
1	1132
0	1373
24	1313
28383	0
2	0
8	8422
0	9049
4	8414
50	8332
0	8313
1	8746
0	0
0	689
74	689
3	12
2	12
1107	0
0	4
0	4
1	4
0	7
0	7
0	7
11173	448
9	0
0	4
0	3
0	3
4	3
20	1027
0	0
1	0
13	0
0	0
4	9
14	1057
11207	0
81	0
24	1032
0	0
0	0
292	1
294	216
0	0
0	0
1	28
0	0
0	0
5	0
1	0
0	54
0	0
0	0
0	0
0	0
0	11808
2	11796
0	11488
37	11500
12	0
4	0
45	75
0	0
0	0
0	0
0	0
0	0
0	0
365	0
15	2656
63	2699
1	2253
0	0
0	0
1	2656
1643	869
25	2657
2	866
7	2687
0	0
1	0
1	0
1142	33
143	2657
110	2253
1040	0
4	135
102	0
2787	0
19	8
127	6073
9	6042
1	0
0	0
0	5193
1	6044
68	6074
583	0
0	65822
7	0
0	135
562	9352
10	0
138	833
3708	0
103	6462
0	0
9183	42
0	1
95604	15
71	0
0	6629
29	6145
0	1
0	3099
12	0
291	0
114	6498
7	0
7	0
0	1
0	1
0	0
0	0
0	11298
0	1
44	108
0	713
3	11298
0	713
0	39
0	8
4	25
0	1
14	0
0	0
0	1
0	0
0	1
0	1
0	0
0	0
1	0
4	110
25	0
10	0
17	2735
53	2735
930	0
0	0
3	0
0	297
735	0
0	0
14	43
3	42
18	297
91	4507
281	0
0	110
192	4507
2	4
194	0
1	36
3	1154
89	2624
8	639
25	109
0	1
16	122
47	25
0	99
0	362
0	32
0	375
0	5
0	372
641	321
6	49
1028	700
5198	0
282	2743
14538	0
2070	0
0	0
50	2743
0	33
12	0
3	25
2	1269
66	4090
0	31
3751	0
713	0
10	0
0	3818
22560	0
4190	0
99	2098
1206	0
2650	0
0	4
3	3997
21	4028
6	0
0	0
2292	0
8964	0
0	0
3367	0
892	17
849	0
275	0
4	2039
1	1981
665	0
112	3800
11	3094
1790	0
8531	1
8	228
5456	149
244	0
96	1283
1	129
0	127
1	129
16	29
9	41
20	37
2	86
50	542
9	542
9	1720
0	3391
0	3
6	557
95	560
98	594
0	594
5	8022
12	9305
43	7884
15	7754
0	10337
7	119
0	119
0	844
68	833
6	1984
26	1998
36	1980
5	0
4	258
10	258
0	17
2166	0
10	2425
144	2425
245	2165
3	2165
6	807
25	807
27	542
13	542
0	0
0	0
15	1339
103	1339
6	493
22	493
4	1646
17	1514
49	1499
2	1492
500	0
359	6676
5	0
0	20
4	21
0	15
0	15
0	16
0	1
0	1
0	9
0	9
32	1896
121	1877
0	1571
5881	2
0	0
4	1737
1644	0
0	0
0	0
0	0
2	57
0	0
0	1486
0	0
0	0
3	0
0	0
0	3
0	3
0	0
16	229
0	53
0	53
24	312
11	499
123	499
0	0
0	0
1554	0
0	53
1	53
971	0
0	262
1	253
13	251
1	208
0	4
0	4
373	8780
0	0
43	1536
0	1536
0	668
4	663
16	208
1386	1565
69	1565
342	4945
12	4939
16	4728
93	2382
13	903
2	1213
20	1071
1	81
6	81
2	73
158	2382
17	338
53	379
67	1416
37	1416
2	6
0	6
119	1817
68	428
11	428
0	1241
24	1042
177	546
0	1064
0	996
1	1043
0	1
17	1345
19	1329
21	1310
24	1326
17	1157
63	1157
7	2100
0	2217
6	2127
0	38
0	38
12	743
43	745
14	745
4189	0
26	101
752	2483
474	0
17	0
40	5
0	0
0	5
3874	0
0	453
0	438
0	437
9	437
1	315
20	730
0	5
0	5
2743	0
1180	0
413	0
0	0
0	0
7	0
5072	0
2077	0
19	0
2	2
1	2
6	1569
0	1678
1	1637
0	348
0	0
0	4
1	5
36	955
250	1141
604	3034
0	587
1	1233
10	1165
0	0
0	8492
200	434
9	783
7	833
12	799
69	9274
0	8465
0	8465
46	8635
0	8109
0	8465
28	82
0	9263
0	1
18	234
3	234
4	0
0	272
0	48
0	20
0	19
0	20
0	19
0	48
0	19
0	19
171	2633
22	2633
0	87
0	87
53	2769
0	2769
6	9
0	0
4003	0
0	3
0	1
0	0
5	28
13	0
23	53
0	0
1	365
5	2754
113	2649
31	2642
0	61
0	61
0	60
0	32
1	32
8	0
9	2659
410	3639
7	3639
81	2659
0	6
6	109
10	112
0	0
0	0
0	0
432	4236
0	0
66	4236
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	211
5	211
0	413
2	1570
1	1582
130	1236
2	1236
1	80
375	80
0	413
1	0
14	1732
15	1687
0	1776
3	14
0	0
0	0
2	40
0	445
0	32
0	35
19	32
0	30
0	0
1	20
1	20
1	1683
1	1644
0	1362
0	1323
61	426
27	2679
10	1378
223	2679
0	15048
0	15319
0	12561
0	12469
0	12368
18	12262
0	14946
11	3622
110	3622
9	7299
0	0
1	139
13	139
0	0
0	0
0	193
15	193
19	192
337	1527
7	1729
8	9
0	216
84	38
6	180
4	207
3	207
0	2149
0	2149
1	874
3	17
7	48
1	11
6	127
0	115
0	0
3	117
22	845
0	6391
7	825
9	3565
0	20
0	20
0	788
1	764
10	954
0	1995
12	963
4	1606
2	34
7	735
0	34
735	1712
7	1712
2	17
5	3351
32	3333
93	4794
24	4794
7	36
289	1431
30	1431
933	1061
23	1061
0	68
24	2800
182	6991
267	1416
6	1416
12	1273
0	0
77	1273
0	0
0	0
3	591
302	3902
2842	520
25	3902
1	732
92	732
0	0
0	0
0	3
0	3
260	3997
0	0
10	3958
11	3951
13	4004
999	416
55	415
3	415
9	224
9	2863
149	1215
16	1215
0	0
1	204
12	204
106	3620
1	274
4	274
2	352
13	352
0	2585
24	2447
3	49
1	49
8	77
0	1
44	4368
26	2340
13	478
31	801
69	85
0	801
2	83
2	82
0	81
5	32161
313	35158
531	34061
7	157
12	1161
1	23
30	1161
0	22
0	484
6	382
0	7
62	52
5	193
0	0
0	0
0	0
0	1351
2	86
7	1232
1	86
33	1201
44	2592
0	28
25	522
10	519
0	473
245	27450
